Timestamp,Gender,Age,Location,Time of class (pm),Duration (min)
1/3/2022 19:09:46,Male,16-30,Pakistan,09:30,45
1/3/2022 19:09:46,Male,16-30,Pakistan,10:00,30
1/3/2022 19:09:46,Male,30-40,Pakistan,09:30,60
1/3/2022 19:09:47,Male,30-40,West,10:30,45
1/3/2022 19:09:47,Male,30-40,Pakistan,10:30,60
1/3/2022 19:09:47,Female,16-30,Pakistan,09:30,60
1/3/2022 19:09:47,Female,16-30,West,10:30,30
1/3/2022 19:09:47,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:47,Male,30-40,Pakistan,10:00,30
1/3/2022 19:09:47,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:48,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:48,Female,16-30,Pakistan,10:00,60
1/3/2022 19:09:48,Female,16-30,East,09:30,60
1/3/2022 19:09:48,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:49,Male,16-30,Pakistan,09:30,45
1/3/2022 19:09:49,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:50,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:50,Male,30-40,Pakistan,10:00,45
1/3/2022 19:09:50,Female,30-40,Pakistan,10:30,45
1/3/2022 19:09:50,Male,16-30,West,10:30,45
1/3/2022 19:09:50,Male,30-40,Pakistan,10:30,60
1/3/2022 19:09:50,Male,16-30,East,09:30,60
1/3/2022 19:09:50,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:50,Male,40-50,West,10:30,45
1/3/2022 19:09:51,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:51,Female,16-30,Pakistan,10:00,45
1/3/2022 19:09:51,Male,16-30,Pakistan,09:30,45
1/3/2022 19:09:51,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:52,Male,16-30,Pakistan,09:30,45
1/3/2022 19:09:52,Male,16-30,Pakistan,10:30,30
1/3/2022 19:09:52,Male,16-30,West,10:00,45
1/3/2022 19:09:52,Male,30-40,East,10:30,30
1/3/2022 19:09:52,Male,16-30,West,10:30,60
1/3/2022 19:09:53,Male,16-30,Pakistan,10:30,30
1/3/2022 19:09:53,Male,30-40,Pakistan,10:00,45
1/3/2022 19:09:53,Male,16-30,Pakistan,10:30,60
1/3/2022 19:09:53,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:53,Male,30-40,Pakistan,10:00,30
1/3/2022 19:09:53,Female,30-40,Pakistan,10:00,45
1/3/2022 19:09:53,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:54,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:54,Male,16-30,Pakistan,09:30,30
1/3/2022 19:09:54,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:54,Female,16-30,Pakistan,09:30,45
1/3/2022 19:09:54,Male,30-40,Pakistan,09:30,45
1/3/2022 19:09:54,Female,16-30,Pakistan,09:30,60
1/3/2022 19:09:55,Male,16-30,Pakistan,10:00,60
1/3/2022 19:09:55,Male,30-40,Pakistan,10:00,60
1/3/2022 19:09:55,Female,16-30,Pakistan,10:30,45
1/3/2022 19:09:55,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:55,Male,16-30,Pakistan,09:30,60
1/3/2022 19:09:56,Male,40-50,Pakistan,09:30,30
1/3/2022 19:09:56,Male,16-30,Pakistan,10:00,45
1/3/2022 19:09:56,Female,16-30,Pakistan,10:30,45
1/3/2022 19:09:57,Male,16-30,Pakistan,10:00,30
1/3/2022 19:09:57,Male,16-30,Pakistan,10:00,30
1/3/2022 19:09:57,Male,16-30,Pakistan,09:30,30
1/3/2022 19:09:57,Male,16-30,East,10:30,30
1/3/2022 19:09:58,Male,16-30,Pakistan,09:30,45
1/3/2022 19:09:58,Male,30-40,Pakistan,09:30,45
1/3/2022 19:09:58,Male,30-40,Pakistan,10:00,45
1/3/2022 19:09:58,Female,16-30,West,10:30,60
1/3/2022 19:09:59,Male,16-30,Pakistan,10:30,45
1/3/2022 19:09:59,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:00,Male,30-40,Pakistan,10:00,45
1/3/2022 19:10:00,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:00,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:00,Female,16-30,Pakistan,10:00,30
1/3/2022 19:10:00,Male,16-30,Pakistan,10:00,30
1/3/2022 19:10:01,Female,30-40,Pakistan,10:00,60
1/3/2022 19:10:01,Male,30-40,Pakistan,09:30,45
1/3/2022 19:10:01,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:01,Male,30-40,West,09:30,30
1/3/2022 19:10:02,Male,40-50,Pakistan,10:00,45
1/3/2022 19:10:02,Female,16-30,Pakistan,10:30,45
1/3/2022 19:10:02,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:02,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:02,Male,30-40,East,09:30,60
1/3/2022 19:10:03,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:03,Male,16-30,Pakistan,10:00,45
1/3/2022 19:10:03,Male,16-30,West,10:30,60
1/3/2022 19:10:03,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:03,Female,16-30,Pakistan,09:30,30
1/3/2022 19:10:03,Female,30-40,West,10:30,60
1/3/2022 19:10:03,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:04,Female,30-40,Pakistan,10:30,60
1/3/2022 19:10:04,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:04,Male,16-30,Pakistan,10:00,30
1/3/2022 19:10:04,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:04,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:04,Male,16-30,Pakistan,09:30,30
1/3/2022 19:10:04,Female,30-40,Pakistan,10:00,30
1/3/2022 19:10:05,Male,40-50,Pakistan,10:00,30
1/3/2022 19:10:06,Female,16-30,Pakistan,10:00,30
1/3/2022 19:10:06,Male,16-30,West,09:30,45
1/3/2022 19:10:07,Male,40-50,Pakistan,10:30,60
1/3/2022 19:10:07,Male,30-40,West,10:30,45
1/3/2022 19:10:08,Female,16-30,Pakistan,10:00,45
1/3/2022 19:10:08,Male,30-40,Pakistan,10:30,45
1/3/2022 19:10:08,Male,>50,West,10:30,45
1/3/2022 19:10:08,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:08,Female,16-30,Pakistan,10:30,45
1/3/2022 19:10:09,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:09,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:10,Male,30-40,Pakistan,09:30,60
1/3/2022 19:10:10,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:10,Male,30-40,Pakistan,10:00,60
1/3/2022 19:10:10,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:10,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:10,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:10,Female,16-30,Pakistan,10:00,45
1/3/2022 19:10:10,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:10,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:11,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:12,Male,16-30,Pakistan,10:00,30
1/3/2022 19:10:12,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:12,Male,30-40,Pakistan,10:00,60
1/3/2022 19:10:12,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:12,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:13,Female,16-30,Pakistan,10:00,60
1/3/2022 19:10:13,Male,>50,Pakistan,10:00,45
1/3/2022 19:10:13,Male,30-40,Pakistan,10:30,60
1/3/2022 19:10:13,Male,30-40,Pakistan,10:00,45
1/3/2022 19:10:14,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:14,Male,30-40,Pakistan,10:00,60
1/3/2022 19:10:14,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:14,Male,1-15,West,10:30,30
1/3/2022 19:10:15,Male,30-40,West,10:30,60
1/3/2022 19:10:15,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:15,Male,16-30,Pakistan,09:30,30
1/3/2022 19:10:15,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:15,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:15,Male,30-40,Pakistan,10:00,45
1/3/2022 19:10:15,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:15,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:15,Female,30-40,Pakistan,10:30,45
1/3/2022 19:10:16,Male,16-30,Pakistan,10:00,30
1/3/2022 19:10:16,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:17,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:17,Male,30-40,Pakistan,10:30,45
1/3/2022 19:10:17,Female,1-15,West,10:30,45
1/3/2022 19:10:17,Female,16-30,Pakistan,09:30,45
1/3/2022 19:10:17,Male,40-50,Pakistan,10:30,45
1/3/2022 19:10:17,Male,30-40,Pakistan,09:30,60
1/3/2022 19:10:17,Male,30-40,Pakistan,10:00,30
1/3/2022 19:10:17,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:17,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:18,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:18,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:18,Male,16-30,Pakistan,10:00,45
1/3/2022 19:10:18,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:18,Female,30-40,Pakistan,10:30,45
1/3/2022 19:10:18,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:18,Female,16-30,Pakistan,09:30,45
1/3/2022 19:10:19,Male,30-40,Pakistan,10:00,45
1/3/2022 19:10:20,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:21,Female,16-30,Pakistan,10:00,30
1/3/2022 19:10:21,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:21,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:22,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:22,Male,16-30,Pakistan,10:30,60
1/3/2022 19:10:23,Female,16-30,Pakistan,10:30,30
1/3/2022 19:10:23,Male,30-40,Pakistan,10:30,60
1/3/2022 19:10:23,Male,30-40,West,10:30,45
1/3/2022 19:10:23,Male,16-30,Pakistan,10:00,45
1/3/2022 19:10:23,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:24,Male,16-30,Pakistan,09:30,30
1/3/2022 19:10:25,Male,16-30,East,09:30,60
1/3/2022 19:10:25,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:25,Male,16-30,Pakistan,10:00,45
1/3/2022 19:10:25,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:25,Female,16-30,Pakistan,10:00,45
1/3/2022 19:10:26,Female,16-30,Pakistan,09:30,60
1/3/2022 19:10:26,Male,30-40,Pakistan,09:30,45
1/3/2022 19:10:26,Female,16-30,Pakistan,09:30,45
1/3/2022 19:10:26,Female,16-30,West,10:30,45
1/3/2022 19:10:27,Male,30-40,Pakistan,10:00,45
1/3/2022 19:10:27,Male,16-30,Pakistan,10:00,30
1/3/2022 19:10:28,Male,30-40,Pakistan,09:30,45
1/3/2022 19:10:30,Male,16-30,Pakistan,10:00,45
1/3/2022 19:10:31,Male,16-30,Pakistan,09:30,30
1/3/2022 19:10:31,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:32,Female,16-30,Pakistan,10:00,60
1/3/2022 19:10:32,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:32,Male,30-40,Pakistan,09:30,60
1/3/2022 19:10:32,Male,30-40,Pakistan,10:30,45
1/3/2022 19:10:32,Male,40-50,Pakistan,10:00,45
1/3/2022 19:10:32,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:35,Male,16-30,Pakistan,09:30,30
1/3/2022 19:10:35,Male,30-40,East,09:30,60
1/3/2022 19:10:36,Male,30-40,Pakistan,09:30,60
1/3/2022 19:10:37,Male,30-40,Pakistan,10:30,60
1/3/2022 19:10:37,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:37,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:37,Male,16-30,West,10:00,60
1/3/2022 19:10:39,Female,16-30,Pakistan,10:00,45
1/3/2022 19:10:40,Female,16-30,Pakistan,10:00,60
1/3/2022 19:10:41,Male,30-40,Pakistan,09:30,45
1/3/2022 19:10:42,Male,16-30,West,10:30,30
1/3/2022 19:10:42,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:43,Male,16-30,Pakistan,10:00,60
1/3/2022 19:10:43,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:43,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:44,Male,16-30,Pakistan,09:30,60
1/3/2022 19:10:47,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:48,Female,16-30,West,10:30,60
1/3/2022 19:10:48,Male,16-30,Pakistan,09:30,45
1/3/2022 19:10:49,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:50,Male,30-40,West,10:00,45
1/3/2022 19:10:53,Male,16-30,Pakistan,10:30,45
1/3/2022 19:10:54,Male,16-30,East,09:30,30
1/3/2022 19:10:55,Male,16-30,East,09:30,60
1/3/2022 19:10:55,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:56,Male,30-40,West,10:30,60
1/3/2022 19:10:56,Female,30-40,Pakistan,10:30,45
1/3/2022 19:10:56,Male,16-30,West,10:00,45
1/3/2022 19:10:57,Female,16-30,Pakistan,10:30,30
1/3/2022 19:10:58,Male,16-30,Pakistan,10:30,30
1/3/2022 19:10:58,Female,16-30,West,10:30,45
1/3/2022 19:10:58,Female,16-30,East,10:00,45
1/3/2022 19:10:59,Female,16-30,Pakistan,09:30,45
1/3/2022 19:11:00,Male,30-40,Pakistan,10:30,30
1/3/2022 19:11:00,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:01,Male,16-30,Pakistan,10:00,45
1/3/2022 19:11:01,Male,16-30,Pakistan,10:00,30
1/3/2022 19:11:01,Female,16-30,Pakistan,10:30,30
1/3/2022 19:11:02,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:03,Female,16-30,Pakistan,09:30,45
1/3/2022 19:11:04,Male,16-30,Pakistan,10:30,30
1/3/2022 19:11:04,Female,16-30,Pakistan,10:30,60
1/3/2022 19:11:05,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:06,Male,16-30,Pakistan,10:00,30
1/3/2022 19:11:07,Female,16-30,West,10:00,30
1/3/2022 19:11:08,Female,16-30,Pakistan,10:30,30
1/3/2022 19:11:08,Male,16-30,West,10:30,30
1/3/2022 19:11:08,Male,16-30,Pakistan,10:30,60
1/3/2022 19:11:10,Female,30-40,Pakistan,10:00,45
1/3/2022 19:11:11,Male,16-30,Pakistan,09:30,30
1/3/2022 19:11:12,Female,16-30,Pakistan,10:30,45
1/3/2022 19:11:13,Female,16-30,Pakistan,09:30,30
1/3/2022 19:11:13,Male,30-40,Pakistan,09:30,60
1/3/2022 19:11:14,Male,16-30,Pakistan,10:30,60
1/3/2022 19:11:14,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:15,Male,16-30,Pakistan,10:30,45
1/3/2022 19:11:17,Male,16-30,Pakistan,10:30,45
1/3/2022 19:11:17,Male,16-30,Pakistan,10:30,30
1/3/2022 19:11:19,Male,16-30,Pakistan,10:30,30
1/3/2022 19:11:20,Male,16-30,Pakistan,10:30,60
1/3/2022 19:11:22,Male,16-30,Pakistan,09:30,45
1/3/2022 19:11:24,Male,16-30,Pakistan,10:30,60
1/3/2022 19:11:28,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:29,Male,16-30,West,10:30,30
1/3/2022 19:11:29,Female,16-30,Pakistan,09:30,30
1/3/2022 19:11:33,Female,16-30,Pakistan,09:30,60
1/3/2022 19:11:34,Male,16-30,Pakistan,09:30,45
1/3/2022 19:11:39,Male,16-30,Pakistan,10:00,45
1/3/2022 19:11:39,Male,16-30,Pakistan,10:00,45
1/3/2022 19:11:46,Female,16-30,Pakistan,10:30,30
1/3/2022 19:11:51,Male,16-30,Pakistan,09:30,30
1/3/2022 19:11:52,Male,16-30,Pakistan,10:30,45
1/3/2022 19:11:53,Male,16-30,Pakistan,10:00,60
1/3/2022 19:11:54,Female,16-30,Pakistan,10:30,60
1/3/2022 19:11:55,Male,16-30,Pakistan,10:30,45
